user_id,action,timestamp,item_id,app_id,media_id,poi_id,duration
user_0001,browse,2025-11-24 10:42:47,大众_迈腾,,易车网,,129
user_0001,browse,2025-11-24 21:42:47,大众_迈腾,,懂车帝,,156
user_0001,visit_poi,2025-11-25 07:42:47,,,,XX高尔夫俱乐部,3689
user_0001,browse,2025-11-25 10:42:47,大众_途观,,懂车帝,,135
user_0001,use_app,2025-11-25 11:42:47,,大众点评,,,310
user_0001,visit_poi,2025-11-25 16:42:47,,,,XX商务会所,3122
user_0001,browse,2025-11-25 23:42:47,大众_途昂,,易车网,,72
user_0001,use_app,2025-11-26 00:42:47,,大众点评,,,1375
user_0001,use_app,2025-11-26 08:42:47,,小红书,,,82
user_0001,visit_poi,2025-11-26 18:42:47,,,,XX私人会所,3533
user_0001,visit_poi,2025-11-26 19:42:47,,,,XX商务会所,2576
user_0001,browse,2025-11-27 01:42:47,大众_帕萨特,,易车网,,31
user_0001,browse,2025-11-27 12:42:47,大众_途昂,,易车网,,262
user_0001,browse,2025-11-27 20:42:47,大众_途昂,,易车网,,141
user_0001,browse,2025-11-27 22:42:47,大众_途观,,爱卡汽车,,40
user_0001,use_app,2025-11-28 08:42:47,,微信,,,1611
user_0001,use_app,2025-11-28 17:42:47,,大众点评,,,288
user_0001,use_app,2025-11-28 21:42:47,,易车,,,905
user_0001,use_app,2025-11-29 07:42:47,,抖音,,,692
user_0001,visit_poi,2025-11-29 10:42:47,,,,XX私人会所,2800
user_0001,browse,2025-11-29 18:42:47,大众_途昂,,新浪汽车,,71
user_0001,browse,2025-11-30 03:42:47,大众_迈腾,,汽车之家,,255
user_0001,use_app,2025-11-30 14:42:47,,大众点评,,,1395
user_0001,browse,2025-11-30 15:42:47,大众_途昂,,新浪汽车,,269
user_0001,browse,2025-11-30 23:42:47,大众_途观,,爱卡汽车,,69
user_0001,browse,2025-12-01 06:42:47,大众_迈腾,,易车网,,255
user_0001,click,2025-12-01 12:42:47,大众_途昂_详情页,,新浪汽车,,
user_0001,search,2025-12-01 20:42:47,大众途观油耗,易车,,,
user_0001,search,2025-12-01 22:42:47,大众途昂配置,懂车帝,,,
user_0001,search,2025-12-01 23:42:47,大众迈腾怎么样,懂车帝,,,
user_0001,browse,2025-12-02 04:42:47,大众_途昂,,汽车之家,,42
user_0001,search,2025-12-02 06:42:47,大众帕萨特价格,懂车帝,,,
user_0001,search,2025-12-02 13:42:47,大众途观,懂车帝,,,
user_0001,browse,2025-12-02 15:42:47,大众_途观,,易车网,,207
user_0001,search,2025-12-02 22:42:47,大众途昂,懂车帝,,,
user_0001,browse,2025-12-03 03:42:47,大众_帕萨特,,新浪汽车,,216
user_0001,browse,2025-12-03 05:42:47,大众_途观,,懂车帝,,214
user_0001,search,2025-12-03 07:42:47,大众帕萨特价格,汽车之家,,,
user_0001,click,2025-12-03 12:42:47,大众_途昂_详情页,,汽车之家,,
user_0001,browse,2025-12-03 20:42:47,大众_帕萨特,,懂车帝,,194
user_0001,click,2025-12-03 22:42:47,大众_迈腾_详情页,,爱卡汽车,,
user_0001,browse,2025-12-04 04:42:47,大众_途观,,新浪汽车,,285
user_0001,browse,2025-12-04 09:42:47,大众_帕萨特,,懂车帝,,116
user_0001,search,2025-12-04 13:42:47,大众迈腾价格,汽车之家,,,
user_0001,browse,2025-12-04 20:42:47,大众_迈腾,,爱卡汽车,,263
user_0001,search,2025-12-05 04:42:47,大众途昂怎么样,易车,,,
user_0001,click,2025-12-05 11:42:47,大众_帕萨特_详情页,,懂车帝,,
user_0001,click,2025-12-05 16:42:47,大众_迈腾_详情页,,懂车帝,,
user_0001,click,2025-12-05 18:42:47,大众_帕萨特_详情页,,易车网,,
user_0001,search,2025-12-05 19:42:47,大众途昂价格,易车,,,
user_0001,click,2025-12-05 22:42:47,大众_帕萨特_详情页,,汽车之家,,
user_0001,browse,2025-12-06 04:42:47,大众_途昂,,易车网,,101
user_0001,click,2025-12-06 05:42:47,大众_迈腾_详情页,,汽车之家,,
user_0001,search,2025-12-06 09:42:47,大众迈腾怎么样,懂车帝,,,
user_0001,browse,2025-12-06 17:42:47,大众_途观,,易车网,,135
user_0001,click,2025-12-07 00:42:47,大众_迈腾_详情页,,汽车之家,,
user_0001,browse,2025-12-07 02:42:47,大众_途昂,,汽车之家,,78
user_0001,click,2025-12-07 03:42:47,大众_途昂_详情页,,新浪汽车,,
user_0001,compare,2025-12-07 08:42:47,对比_大众_帕萨特,汽车之家,,,351
user_0001,browse,2025-12-07 09:42:47,大众_帕萨特,,爱卡汽车,,165
user_0001,click,2025-12-07 10:42:47,大众_帕萨特_详情页,,爱卡汽车,,
user_0001,click,2025-12-07 14:42:47,大众_途昂_详情页,,爱卡汽车,,
user_0001,click,2025-12-07 16:42:47,大众_迈腾_详情页,,爱卡汽车,,
user_0001,compare,2025-12-07 17:42:47,对比_大众_帕萨特,汽车之家,,,311
user_0001,click,2025-12-07 20:42:47,大众_帕萨特_详情页,,新浪汽车,,
user_0001,browse,2025-12-07 22:42:47,大众_帕萨特,,汽车之家,,245
user_0001,visit_poi,2025-12-08 01:42:47,,,,大众4S店,6132
user_0001,browse,2025-12-08 03:42:47,大众_帕萨特,,汽车之家,,254
user_0001,click,2025-12-08 08:42:47,大众_帕萨特_详情页,,易车网,,
user_0002,browse,2025-11-24 10:42:47,比亚迪_宋,,易车网,,67
user_0002,browse,2025-11-24 15:42:47,长城_哈弗H9,,爱卡汽车,,139
user_0002,use_app,2025-11-25 02:42:47,,抖音,,,1313
user_0002,use_app,2025-11-25 03:42:47,,高德地图,,,1448
user_0002,browse,2025-11-25 05:42:47,长城_哈弗H9,,易车网,,139
user_0002,use_app,2025-11-25 09:42:47,,高德地图,,,864
user_0002,browse,2025-11-25 18:42:47,比亚迪_宋,,爱卡汽车,,280
user_0002,visit_poi,2025-11-26 06:42:47,,,,XX私人会所,2892
user_0002,use_app,2025-11-26 13:42:47,,小红书,,,1285
user_0002,use_app,2025-11-26 23:42:47,,大众点评,,,1218
user_0002,browse,2025-11-27 03:42:47,长城_哈弗H6,,新浪汽车,,182
user_0002,use_app,2025-11-27 04:42:47,,高德地图,,,1182
user_0002,visit_poi,2025-11-27 11:42:47,,,,XX西餐厅,2765
user_0002,browse,2025-11-27 23:42:47,比亚迪_汉,,新浪汽车,,81
user_0002,browse,2025-11-28 00:42:47,比亚迪_汉,,懂车帝,,66
user_0002,use_app,2025-11-28 06:42:47,,懂车帝,,,1534
user_0002,browse,2025-11-28 07:42:47,长城_哈弗H9,,懂车帝,,299
user_0002,use_app,2025-11-28 13:42:47,,大众点评,,,713
user_0002,browse,2025-11-28 14:42:47,比亚迪_汉,,易车网,,143
user_0002,browse,2025-11-28 15:42:47,长城_哈弗H6,,新浪汽车,,262
user_0002,browse,2025-11-28 20:42:47,长城_WEY VV7,,汽车之家,,193
user_0002,search,2025-11-29 04:42:47,比亚迪和比亚迪对比,懂车帝,,,
user_0002,search,2025-11-29 07:42:47,长城哈弗H6,汽车之家,,,
user_0002,click,2025-11-29 11:42:47,比亚迪_汉_详情页,,懂车帝,,
user_0002,search,2025-11-29 15:42:47,比亚迪和比亚迪对比,易车,,,
user_0002,browse,2025-11-29 22:42:47,比亚迪_宋,,新浪汽车,,148
user_0002,browse,2025-11-29 23:42:47,比亚迪_汉,,汽车之家,,81
user_0002,browse,2025-11-30 02:42:47,比亚迪_唐,,爱卡汽车,,172
user_0002,click,2025-11-30 10:42:47,比亚迪_唐_详情页,,懂车帝,,
user_0002,search,2025-11-30 14:42:47,比亚迪唐,汽车之家,,,
user_0002,click,2025-11-30 18:42:47,长城_WEY VV7_详情页,,爱卡汽车,,
user_0002,browse,2025-11-30 23:42:47,长城_哈弗H6,,汽车之家,,282
user_0002,search,2025-12-01 02:42:47,长城哈弗H6配置,懂车帝,,,
user_0002,click,2025-12-01 08:42:47,比亚迪_唐_详情页,,新浪汽车,,
user_0002,search,2025-12-01 10:42:47,比亚迪唐怎么样,易车,,,
user_0002,click,2025-12-01 11:42:47,比亚迪_唐_详情页,,汽车之家,,
user_0002,click,2025-12-01 19:42:47,长城_哈弗H9_详情页,,汽车之家,,
user_0002,browse,2025-12-01 22:42:47,比亚迪_唐,,爱卡汽车,,112
user_0002,click,2025-12-02 05:42:47,比亚迪_汉_详情页,,新浪汽车,,
user_0002,browse,2025-12-02 09:42:47,长城_哈弗H6,,易车网,,255
user_0002,search,2025-12-02 10:42:47,比亚迪宋配置,汽车之家,,,
user_0002,search,2025-12-02 13:42:47,长城哈弗H9油耗,易车,,,
user_0002,search,2025-12-02 18:42:47,比亚迪唐价格,易车,,,
user_0002,search,2025-12-02 22:42:47,长城哈弗H9配置,汽车之家,,,
user_0002,browse,2025-12-03 02:42:47,比亚迪_宋,,新浪汽车,,193
user_0002,search,2025-12-03 08:42:47,比亚迪秦油耗,易车,,,
user_0002,click,2025-12-03 12:42:47,比亚迪_汉_详情页,,汽车之家,,
user_0002,browse,2025-12-03 20:42:47,比亚迪_汉,,易车网,,215
